symbol,company_name,isin,industry
CGPOWER,CG Power and Industrial Solutions Ltd.,INE067A01029,Capital Goods
CHALET,Chalet Hotels Ltd.,INE427F01016,Consumer Services
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,INE085A01013,Chemicals
CHENNPETRO,Chennai Petroleum Corporation Ltd.,INE178A01016,Oil Gas & Consumable Fuels
CHOICEIN,Choice International Ltd.,INE102B01014,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,INE121A01024,Financial Services
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,INE149A01033,Financial Services
CIEINDIA,CIE Automotive India Ltd.,INE536H01010,Automobile and Auto Components
CIPLA,Cipla Ltd.,INE059A01026,Healthcare
CLEAN,Clean Science and Technology Ltd.,INE227W01023,Chemicals
COALINDIA,Coal India Ltd.,INE522F01014,Oil Gas & Consumable Fuels
COCHINSHIP,Cochin Shipyard Ltd.,INE704P01025,Capital Goods
COFORGE,Coforge Ltd.,INE591G01025,Information Technology
COHANCE,Cohance Lifesciences Ltd.,INE03QK01018,Healthcare
COLPAL,Colgate Palmolive (India) Ltd.,INE259A01022,Fast Moving Consumer Goods
CONCOR,Container Corporation of India Ltd.,INE111A01025,Services
CONCORDBIO,Concord Biotech Ltd.,INE338H01029,Healthcare
COROMANDEL,Coromandel International Ltd.,INE169A01031,Chemicals
CPPLUS,Aditya Infotech Ltd.,INE819V01029,Capital Goods
CRAFTSMAN,Craftsman Automation Ltd.,INE00LO01017,Automobile and Auto Components
CREDITACC,CreditAccess Grameen Ltd.,INE741K01010,Financial Services
CRISIL,CRISIL Ltd.,INE007A01025,Financial Services
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,INE299U01018,Consumer Durables
CUB,City Union Bank Ltd.,INE491A01021,Financial Services
CUMMINSIND,Cummins India Ltd.,INE298A01020,Capital Goods
CYIENT,Cyient Ltd.,INE136B01020,Information Technology
DABUR,Dabur India Ltd.,INE016A01026,Fast Moving Consumer Goods
DALBHARAT,Dalmia Bharat Ltd.,INE00R701025,Construction Materials
DATAPATTNS,Data Patterns (India) Ltd.,INE0IX101010,Capital Goods
DCMSHRIRAM,DCM Shriram Ltd.,INE499A01024,Diversified
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,Chemicals
DEEPAKNTR,Deepak Nitrite Ltd.,INE288B01029,Chemicals
DELHIVERY,Delhivery Ltd.,INE148O01028,Services
DEVYANI,Devyani International Ltd.,INE872J01023,Consumer Services
DIVISLAB,Divi's Laboratories Ltd.,INE361B01024,Healthcare
DIXON,Dixon Technologies (India) Ltd.,INE935N01020,Consumer Durables
DLF,DLF Ltd.,INE271C01023,Realty
DMART,Avenue Supermarts Ltd.,INE192R01011,Consumer Services
DOMS,DOMS Industries Ltd.,INE321T01012,Fast Moving Consumer Goods
DRREDDY,Dr. Reddy's Laboratories Ltd.,INE089A01031,Healthcare
ECLERX,eClerx Services Ltd.,INE738I01010,Services
EICHERMOT,Eicher Motors Ltd.,INE066A01021,Automobile and Auto Components
EIDPARRY,E.I.D. Parry (India) Ltd.,INE126A01031,Fast Moving Consumer Goods
EIHOTEL,EIH Ltd.,INE230A01023,Consumer Services
ELECON,Elecon Engineering Co. Ltd.,INE205B01031,Capital Goods
ELGIEQUIP,Elgi Equipments Ltd.,INE285A01027,Capital Goods
EMAMILTD,Emami Ltd.,INE548C01032,Fast Moving Consumer Goods
EMCURE,Emcure Pharmaceuticals Ltd.,INE168P01015,Healthcare
EMMVEE,Emmvee Photovoltaic Power Ltd.,INE1C6T01020,Capital Goods
ENDURANCE,Endurance Technologies Ltd.,INE913H01037,Automobile and Auto Components
ENGINERSIN,Engineers India Ltd.,INE510A01028,Construction
ENRIN,Siemens Energy India Ltd.,INE1NPP01017,Capital Goods
ERIS,Eris Lifesciences Ltd.,INE406M01024,Healthcare
ESCORTS,Escorts Kubota Ltd.,INE042A01014,Capital Goods
ETERNAL,Eternal Ltd.,INE758T01015,Consumer Services
EXIDEIND,Exide Industries Ltd.,INE302A01020,Automobile and Auto Components
FACT,Fertilisers and Chemicals Travancore Ltd.,INE188A01015,Chemicals
FEDERALBNK,Federal Bank Ltd.,INE171A01029,Financial Services
FINCABLES,Finolex Cables Ltd.,INE235A01022,Capital Goods
FIRSTCRY,Brainbees Solutions Ltd.,INE02RE01045,Consumer Services
FIVESTAR,Five-Star Business Finance Ltd.,INE128S01021,Financial Services
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,INE09N301011,Chemicals
FORCEMOT,Force Motors Ltd.,INE451A01017,Automobile and Auto Components
FORTIS,Fortis Healthcare Ltd.,INE061F01013,Healthcare
FSL,Firstsource Solutions Ltd.,INE684F01012,Services
GABRIEL,Gabriel India Ltd.,INE524A01029,Automobile and Auto Components
GAIL,GAIL (India) Ltd.,INE129A01019,Oil Gas & Consumable Fuels
GALLANTT,Gallantt Ispat Ltd.,INE297H01019,Capital Goods
GESHIP,Great Eastern Shipping Co. Ltd.,INE017A01032,Services
GICRE,General Insurance Corporation of India,INE481Y01014,Financial Services
GILLETTE,Gillette India Ltd.,INE322A01010,Fast Moving Consumer Goods
GLAND,Gland Pharma Ltd.,INE068V01023,Healthcare
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,INE159A01016,Healthcare
GLENMARK,Glenmark Pharmaceuticals Ltd.,INE935A01035,Healthcare
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,INE131A01031,Metals & Mining
GMRAIRPORT,GMR Airports Ltd.,INE776C01039,Services
GODFRYPHLP,Godfrey Phillips India Ltd.,INE260B01028,Fast Moving Consumer Goods
GODIGIT,Go Digit General Insurance Ltd.,INE03JT01014,Financial Services
GODREJCP,Godrej Consumer Products Ltd.,INE102D01028,Fast Moving Consumer Goods
GODREJIND,Godrej Industries Ltd.,INE233A01035,Diversified
GODREJPROP,Godrej Properties Ltd.,INE484J01027,Realty
GPIL,Godawari Power & Ispat Ltd.,INE177H01039,Capital Goods
GRANULES,Granules India Ltd.,INE101D01020,Healthcare
GRAPHITE,Graphite India Ltd.,INE371A01025,Capital Goods
GRASIM,Grasim Industries Ltd.,INE047A01021,Construction Materials
GRAVITA,Gravita India Ltd.,INE024L01027,Metals & Mining
GROWW,Billionbrains Garage Ventures Ltd.,INE0HOQ01053,Financial Services
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,INE382Z01011,Capital Goods
GVT&D,GE Vernova T&D India Ltd.,INE200A01026,Capital Goods
HAL,Hindustan Aeronautics Ltd.,INE066F01020,Capital Goods
HAVELLS,Havells India Ltd.,INE176B01034,Consumer Durables
HBLENGINE,HBL Engineering Ltd.,INE292B01021,Capital Goods
HCLTECH,HCL Technologies Ltd.,INE860A01027,Information Technology
HDBFS,HDB Financial Services Ltd.,INE756I01012,Financial Services
HDFCAMC,HDFC Asset Management Company Ltd.,INE127D01025,Financial Services
HDFCBANK,HDFC Bank Ltd.,INE040A01034,Financial Services
HDFCLIFE,HDFC Life Insurance Company Ltd.,INE795G01014,Financial Services
HEG,H.E.G. Ltd.,INE545A01024,Capital Goods
HEROMOTOCO,Hero MotoCorp Ltd.,INE158A01026,Automobile and Auto Components
HEXT,Hexaware Technologies Ltd.,INE093A01041,Information Technology
HFCL,HFCL Ltd.,INE548A01028,Telecommunication
HINDALCO,Hindalco Industries Ltd.,INE038A01020,Metals & Mining
HINDCOPPER,Hindustan Copper Ltd.,INE531E01026,Metals & Mining
HINDPETRO,Hindustan Petroleum Corporation Ltd.,INE094A01015,Oil Gas & Consumable Fuels
HINDUNILVR,Hindustan Unilever Ltd.,INE030A01027,Fast Moving Consumer Goods
HINDZINC,Hindustan Zinc Ltd.,INE267A01025,Metals & Mining
HOMEFIRST,Home First Finance Company India Ltd.,INE481N01025,Financial Services
HONASA,Honasa Consumer Ltd.,INE0J5401028,Fast Moving Consumer Goods
HONAUT,Honeywell Automation India Ltd.,INE671A01010,Capital Goods
HSCL,Himadri Speciality Chemical Ltd.,INE019C01026,Chemicals
HUDCO,Housing & Urban Development Corporation Ltd.,INE031A01017,Financial Services
HYUNDAI,Hyundai Motor India Ltd.,INE0V6F01027,Automobile and Auto Components
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,INE346A01027,Financial Services
ICICIBANK,ICICI Bank Ltd.,INE090A01021,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Ltd.,INE765G01017,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,INE726G01019,Financial Services
IDBI,IDBI Bank Ltd.,INE008A01015,Financial Services
IDEA,Vodafone Idea Ltd.,INE669E01016,Telecommunication
IDFCFIRSTB,IDFC First Bank Ltd.,INE092T01019,Financial Services
IEX,Indian Energy Exchange Ltd.,INE022Q01020,Financial Services
IFCI,IFCI Ltd.,INE039A01010,Financial Services
IGIL,International Gemological Institute Ltd.,INE0Q9301021,Services
IGL,Indraprastha Gas Ltd.,INE203G01027,Oil Gas & Consumable Fuels
IIFL,IIFL Finance Ltd.,INE530B01024,Financial Services
IKS,Inventurus Knowledge Solutions Ltd.,INE115Q01022,Information Technology
INDGN,Indegene Ltd.,INE065X01017,Healthcare
INDHOTEL,Indian Hotels Co. Ltd.,INE053A01029,Consumer Services
INDIACEM,India Cements Ltd.,INE383A01012,Construction Materials
INDIAMART,Indiamart Intermesh Ltd.,INE933S01016,Consumer Services
INDIANB,Indian Bank,INE562A01011,Financial Services
INDIGO,InterGlobe Aviation Ltd.,INE646L01027,Services
INDUSINDBK,IndusInd Bank Ltd.,INE095A01012,Financial Services
INDUSTOWER,Indus Towers Ltd.,INE121J01017,Telecommunication
INFY,Infosys Ltd.,INE009A01021,Information Technology
INOXWIND,Inox Wind Ltd.,INE066P01011,Capital Goods
INTELLECT,Intellect Design Arena Ltd.,INE306R01017,Information Technology
IOB,Indian Overseas Bank,INE565A01014,Financial Services
IOC,Indian Oil Corporation Ltd.,INE242A01010,Oil Gas & Consumable Fuels
IPCALAB,Ipca Laboratories Ltd.,INE571A01038,Healthcare
IRB,IRB Infrastructure Developers Ltd.,INE821I01022,Construction
IRCON,IRCON International Ltd.,INE962Y01021,Construction
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,INE335Y01020,Consumer Services
IREDA,Indian Renewable Energy Development Agency Ltd.,INE202E01016,Financial Services
IRFC,Indian Railway Finance Corporation Ltd.,INE053F01010,Financial Services
ITC,ITC Ltd.,INE154A01025,Fast Moving Consumer Goods
ITCHOTELS,ITC Hotels Ltd.,INE379A01028,Consumer Services
ITI,ITI Ltd.,INE248A01017,Telecommunication
J&KBANK,Jammu & Kashmir Bank Ltd.,INE168A01041,Financial Services
JAINREC,Jain Resource Recycling Ltd.,INE0YD401026,Metals & Mining
JBMA,JBM Auto Ltd.,INE927D01051,Automobile and Auto Components
JINDALSAW,Jindal Saw Ltd.,INE324A01032,Capital Goods
JINDALSTEL,Jindal Steel Ltd.,INE749A01030,Metals & Mining
JIOFIN,Jio Financial Services Ltd.,INE758E01017,Financial Services
JKCEMENT,J.K. Cement Ltd.,INE823G01014,Construction Materials
JKTYRE,JK Tyre & Industries Ltd.,INE573A01042,Automobile and Auto Components
JMFINANCIL,JM Financial Ltd.,INE780C01023,Financial Services
JPPOWER,Jaiprakash Power Ventures Ltd.,INE351F01018,Power
JSL,Jindal Stainless Ltd.,INE220G01021,Metals & Mining
JSWCEMENT,JSW Cement Ltd.,INE718I01012,Construction Materials
JSWDULUX,JSW Dulux Ltd.,INE133A01011,Consumer Durables
JSWENERGY,JSW Energy Ltd.,INE121E01018,Power
JSWINFRA,JSW Infrastructure Ltd.,INE880J01026,Services
JSWSTEEL,JSW Steel Ltd.,INE019A01038,Metals & Mining
JUBLFOOD,Jubilant Foodworks Ltd.,INE797F01020,Consumer Services
JUBLINGREA,Jubilant Ingrevia Ltd.,INE0BY001018,Chemicals
JUBLPHARMA,Jubilant Pharmova Ltd.,INE700A01033,Healthcare
JWL,Jupiter Wagons Ltd.,INE209L01016,Capital Goods
JYOTICNC,Jyoti CNC Automation Ltd.,INE980O01024,Capital Goods
KAJARIACER,Kajaria Ceramics Ltd.,INE217B01036,Consumer Durables
KALYANKJIL,Kalyan Jewellers India Ltd.,INE303R01014,Consumer Durables
KARURVYSYA,Karur Vysya Bank Ltd.,INE036D01028,Financial Services
KAYNES,Kaynes Technology India Ltd.,INE918Z01012,Capital Goods
KEC,Kec International Ltd.,INE389H01022,Construction
KEI,KEI Industries Ltd.,INE878B01027,Capital Goods
KFINTECH,Kfin Technologies Ltd.,INE138Y01010,Financial Services
KIMS,Krishna Institute of Medical Sciences Ltd.,INE967H01025,Healthcare
KIRLOSENG,Kirloskar Oil Eng Ltd.,INE146L01010,Capital Goods
KOTAKBANK,Kotak Mahindra Bank Ltd.,INE237A01036,Financial Services
KPIL,Kalpataru Projects International Ltd.,INE220B01022,Construction
KPITTECH,KPIT Technologies Ltd.,INE04I401011,Information Technology
KPRMILL,K.P.R. Mill Ltd.,INE930H01031,Textiles
LALPATHLAB,Dr. Lal Path Labs Ltd.,INE600L01024,Healthcare
LATENTVIEW,Latent View Analytics Ltd.,INE0I7C01011,Information Technology
LAURUSLABS,Laurus Labs Ltd.,INE947Q01028,Healthcare
LEMONTREE,Lemon Tree Hotels Ltd.,INE970X01018,Consumer Services
LENSKART,Lenskart Solutions Ltd.,INE956O01016,Consumer Services
LGEINDIA,LG Electronics India Ltd.,INE324D01010,Consumer Durables
LICHSGFIN,LIC Housing Finance Ltd.,INE115A01026,Financial Services
LICI,Life Insurance Corporation of India,INE0J1Y01017,Financial Services
LINDEINDIA,Linde India Ltd.,INE473A01011,Chemicals
LLOYDSME,Lloyds Metals And Energy Ltd.,INE281B01032,Metals & Mining
LODHA,Lodha Developers Ltd.,INE670K01029,Realty
LT,Larsen & Toubro Ltd.,INE018A01030,Construction
LTF,L&T Finance Ltd.,INE498L01015,Financial Services
LTFOODS,LT Foods Ltd.,INE818H01020,Fast Moving Consumer Goods
LTM,LTM Ltd.,INE214T01019,Information Technology
LTTS,L&T Technology Services Ltd.,INE010V01017,Information Technology
LUPIN,Lupin Ltd.,INE326A01037,Healthcare
M&M,Mahindra & Mahindra Ltd.,INE101A01026,Automobile and Auto Components
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,INE774D01024,Financial Services
MAHABANK,Bank of Maharashtra,INE457A01014,Financial Services
MANAPPURAM,Manappuram Finance Ltd.,INE522D01027,Financial Services
MANKIND,Mankind Pharma Ltd.,INE634S01028,Healthcare
MAPMYINDIA,C.E. Info Systems Ltd.,INE0BV301023,Information Technology
MARICO,Marico Ltd.,INE196A01026,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Ltd.,INE585B01010,Automobile and Auto Components
MAXHEALTH,Max Healthcare Institute Ltd.,INE027H01010,Healthcare
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,INE249Z01020,Capital Goods
MCX,Multi Commodity Exchange of India Ltd.,INE745G01043,Financial Services
MEDANTA,Global Health Ltd.,INE474Q01031,Healthcare
MEESHO,Meesho Ltd.,INE0VDM01015,Consumer Services
MFSL,Max Financial Services Ltd.,INE180A01020,Financial Services
MGL,Mahanagar Gas Ltd.,INE002S01010,Oil Gas & Consumable Fuels
MINDACORP,Minda Corporation Ltd.,INE842C01021,Automobile and Auto Components
MMTC,MMTC Ltd.,INE123F01029,Services
MOTHERSON,Samvardhana Motherson International Ltd.,INE775A01035,Automobile and Auto Components
MOTILALOFS,Motilal Oswal Financial Services Ltd.,INE338I01027,Financial Services
MPHASIS,MphasiS Ltd.,INE356A01018,Information Technology
MRF,MRF Ltd.,INE883A01011,Automobile and Auto Components
MRPL,Mangalore Refinery & Petrochemicals Ltd.,INE103A01014,Oil Gas & Consumable Fuels
MSUMI,Motherson Sumi Wiring India Ltd.,INE0FS801015,Automobile and Auto Components
MUTHOOTFIN,Muthoot Finance Ltd.,INE414G01012,Financial Services
NAM-INDIA,Nippon Life India Asset Management Ltd.,INE298J01013,Financial Services
NATCOPHARM,NATCO Pharma Ltd.,INE987B01026,Healthcare
NATIONALUM,National Aluminium Co. Ltd.,INE139A01034,Metals & Mining
NAUKRI,Info Edge (India) Ltd.,INE663F01032,Consumer Services
NAVA,Nava Ltd.,INE725A01030,Power
NAVINFLUOR,Navin Fluorine International Ltd.,INE048G01026,Chemicals
NBCC,NBCC (India) Ltd.,INE095N01031,Construction
NCC,NCC Ltd.,INE868B01028,Construction
NESTLEIND,Nestle India Ltd.,INE239A01024,Fast Moving Consumer Goods
NETWEB,Netweb Technologies India Ltd.,INE0NT901020,Information Technology
NEULANDLAB,Neuland Laboratories Ltd.,INE794A01010,Healthcare
NEWGEN,Newgen Software Technologies Ltd.,INE619B01017,Information Technology
NH,Narayana Hrudayalaya Ltd.,INE410P01011,Healthcare
NHPC,NHPC Ltd.,INE848E01016,Power
NIACL,The New India Assurance Company Ltd.,INE470Y01017,Financial Services
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,INE995S01015,Financial Services
NLCINDIA,NLC India Ltd.,INE589A01014,Power
NMDC,NMDC Ltd.,INE584A01023,Metals & Mining
NSLNISP,NMDC Steel Ltd.,INE0NNS01018,Metals & Mining
NTPC,NTPC Ltd.,INE733E01010,Power
NTPCGREEN,NTPC Green Energy Ltd.,INE0ONG01011,Power
NUVAMA,Nuvama Wealth Management Ltd.,INE531F01023,Financial Services
NUVOCO,Nuvoco Vistas Corporation Ltd.,INE118D01016,Construction Materials
NYKAA,FSN E-Commerce Ventures Ltd.,INE388Y01029,Consumer Services
OBEROIRLTY,Oberoi Realty Ltd.,INE093I01010,Realty
OFSS,Oracle Financial Services Software Ltd.,INE881D01027,Information Technology
OIL,Oil India Ltd.,INE274J01014,Oil Gas & Consumable Fuels
OLAELEC,Ola Electric Mobility Ltd.,INE0LXG01040,Automobile and Auto Components
OLECTRA,Olectra Greentech Ltd.,INE260D01016,Automobile and Auto Components
ONESOURCE,Onesource Specialty Pharma Ltd.,INE013P01021,Healthcare
ONGC,Oil & Natural Gas Corporation Ltd.,INE213A01029,Oil Gas & Consumable Fuels
PAGEIND,Page Industries Ltd.,INE761H01022,Textiles
PARADEEP,Paradeep Phosphates Ltd.,INE088F01024,Chemicals
PATANJALI,Patanjali Foods Ltd.,INE619A01035,Fast Moving Consumer Goods
PAYTM,One 97 Communications Ltd.,INE982J01020,Financial Services
PCBL,PCBL Chemical Ltd.,INE602A01031,Chemicals
PERSISTENT,Persistent Systems Ltd.,INE262H01021,Information Technology
PETRONET,Petronet LNG Ltd.,INE347G01014,Oil Gas & Consumable Fuels
PFC,Power Finance Corporation Ltd.,INE134E01011,Financial Services
PFIZER,Pfizer Ltd.,INE182A01018,Healthcare
PFOCUS,Prime Focus Ltd.,INE367G01038,Media Entertainment & Publication
PGEL,PG Electroplast Ltd.,INE457L01029,Consumer Durables
PHOENIXLTD,Phoenix Mills Ltd.,INE211B01039,Realty
PIDILITIND,Pidilite Industries Ltd.,INE318A01026,Chemicals
PIIND,PI Industries Ltd.,INE603J01030,Chemicals
PINELABS,Pine Labs Ltd.,INE15B701018,Financial Services
PIRAMALFIN,Piramal Finance Ltd.,INE202B01038,Financial Services
PNB,Punjab National Bank,INE160A01022,Financial Services
PNBHOUSING,PNB Housing Finance Ltd.,INE572E01012,Financial Services
POLICYBZR,PB Fintech Ltd.,INE417T01026,Financial Services
POLYCAB,Polycab India Ltd.,INE455K01017,Capital Goods
POLYMED,Poly Medicure Ltd.,INE205C01021,Healthcare
POONAWALLA,Poonawalla Fincorp Ltd.,INE511C01022,Financial Services
POWERGRID,Power Grid Corporation of India Ltd.,INE752E01010,Power
POWERINDIA,Hitachi Energy India Ltd.,INE07Y701011,Capital Goods
PPLPHARMA,Piramal Pharma Ltd.,INE0DK501011,Healthcare
PREMIERENE,Premier Energies Ltd.,INE0BS701011,Capital Goods
PRESTIGE,Prestige Estates Projects Ltd.,INE811K01011,Realty
PTCIL,PTC Industries Ltd.,INE596F01018,Capital Goods
PVRINOX,PVR INOX Ltd.,INE191H01014,Media Entertainment & Publication
PWL,Physicswallah Ltd.,INE0LP301011,Consumer Services
RADICO,Radico Khaitan Ltd,INE944F01028,Fast Moving Consumer Goods
